EntityName,Address,Ethereum,Polygon,Arbitrum,Optimism,BNB,Avalanche,Base
Biconomy,0x67b4a9832dfbec071319e492f70e582ee316afc0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x80213f829c8543eda6b1f0f303e94b8e504b53d8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x43627a162f9d45dc727ebd6fff85514477260fbc,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xac4ea6969cd52c8f724624d6eaa215703c4c39e4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xf5434789bcd1d8d96f36b3f1f6466fc93970c966,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x0fedfe1f34a9bf581880ab91a6a10869ea750290,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x87c7f8405a8a0c9bf0746fd33ba238846a51a9f3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xdd176372d3e4a9099ff57ee835b477775ae0c862,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xb16e9f6b4e5f18ed49eb04dd474879e9e19e9702,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xaeb8f63fc3cdfa432b7bc55449ee4b5b89a15827,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x17fc7888cfa2fd095b0c2a629ab9d758364a8adb,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xc4e5186f55b19e4fe5271b4f47afc389324ab3de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xab724b0bcc8839162b0d4d43b4d4808e869d1054,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x0c3a94731576b68876a62495f990dea18aed9c39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xdfd1708f14b8185e3a44c6225d78fe6e9bf096a0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x8d76c819d499093c03bebcacbabfa1b30124063d,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xb1bb0b32308b12063105826196cce15705f69f6e,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xbfa31ebc11d0f5a01a7dc8ff42ee8d5fed8ca711,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x2e987536ef442eb9a6302ecd68af1b5b609aa255,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
